Kode,Nama Perusahaan,Papan Pencatatan,Kategori
HKMU,HK Metals Utama Tbk.,Pemantauan Khusus,Industri Dasar & Kimia
MPRO,Maha Properti Indonesia Tbk.,Pengembangan,Properti & Real Estate
DUCK,Jaya Bersama Indo Tbk.,Pemantauan Khusus,Lainnya
GOOD,Garudafood Putra Putri Jaya Tb,Utama,Consumer Goods
SKRN,Superkrane Mitra Utama Tbk.,Utama,Lainnya
YELO,Yelooo Integra Datanet Tbk.,Pengembangan,Teknologi
CAKK,Cahayaputra Asa Keramik Tbk.,Pengembangan,Lainnya
SATU,Kota Satu Properti Tbk.,Pengembangan,Properti & Real Estate
SOSS,ALSOK Indonesia Services Tbk.,Pemantauan Khusus,Lainnya
DEAL,Dewata Freightinternational Tb,Pemantauan Khusus,Lainnya
POLA,Pool Advista Finance Tbk.,Pengembangan,Pembiayaan & Sekuritas
DIVA,Distribusi Voucher Nusantara T,Pengembangan,Lainnya
LUCK,Sentral Mitra Informatika Tbk.,Pengembangan,Teknologi
URBN,Urban Jakarta Propertindo Tbk.,Pemantauan Khusus,Properti & Real Estate
SOTS,Satria Mega Kencana Tbk.,Pengembangan,Lainnya
ZONE,Mega Perintis Tbk.,Pengembangan,Lainnya
PEHA,Phapros Tbk.,Pengembangan,Lainnya
FOOD,Sentra Food Indonesia Tbk.,Pemantauan Khusus,Consumer Goods
BEEF,Estika Tata Tiara Tbk.,Pengembangan,Lainnya
POLI,Pollux Hotels Group Tbk.,Pengembangan,Lainnya
CLAY,Citra Putra Realty Tbk.,Pengembangan,Properti & Real Estate
NATO,Olympus Strategic Indonesia Tb,Pengembangan,Lainnya
JAYA,Armada Berjaya Trans Tbk.,Pengembangan,Transportasi & Logistik
COCO,Wahana Interfood Nusantara Tbk,Pengembangan,Consumer Goods
MTPS,Meta Epsi Tbk.,Pemantauan Khusus,Lainnya
CPRI,Capri Nusa Satu Properti Tbk.,Pemantauan Khusus,Properti & Real Estate
HRME,Menteng Heritage Realty Tbk.,Pemantauan Khusus,Properti & Real Estate
POSA,Bliss Properti Indonesia Tbk.,Pemantauan Khusus,Properti & Real Estate
JAST,Jasnita Telekomindo Tbk.,Pengembangan,Lainnya
FITT,Hotel Fitra International Tbk.,Pengembangan,Lainnya
BOLA,Bali Bintang Sejahtera Tbk.,Utama,Lainnya
CCSI,Communication Cable Systems In,Pengembangan,Lainnya
SFAN,Surya Fajar Capital Tbk.,Pengembangan,Pembiayaan & Sekuritas
POLU,Golden Flower Tbk.,Pengembangan,Lainnya
KJEN,Krida Jaringan Nusantara Tbk.,Pengembangan,Lainnya
KAYU,Darmi Bersaudara Tbk.,Pemantauan Khusus,Lainnya
ITIC,Indonesian Tobacco Tbk.,Pengembangan,Consumer Goods
PAMG,Bima Sakti Pertiwi Tbk.,Pengembangan,Lainnya
IPTV,MNC Vision Networks Tbk.,Pemantauan Khusus,Lainnya
BLUE,Berkah Prima Perkasa Tbk.,Pengembangan,Lainnya
ENVY,Envy Technologies Indonesia Tb,Pemantauan Khusus,Teknologi
EAST,Eastparc Hotel Tbk.,Pengembangan,Lainnya
LIFE,MSIG Life Insurance Indonesia,Pengembangan,Asuransi
FUJI,Fuji Finance Indonesia Tbk.,Pengembangan,Pembiayaan & Sekuritas
KOTA,DMS Propertindo Tbk.,Utama,Properti & Real Estate
INOV,Inocycle Technology Group Tbk.,Pengembangan,Teknologi
ARKA,Arkha Jayanti Persada Tbk.,Pemantauan Khusus,Lainnya
SMKL,Satyamitra Kemas Lestari Tbk.,Pengembangan,Lainnya
HDIT,Hensel Davest Indonesia Tbk.,Utama,Lainnya
KEEN,Kencana Energi Lestari Tbk.,Utama,Energi & Pertambangan
BAPI,Bhakti Agung Propertindo Tbk.,Pemantauan Khusus,Properti & Real Estate
TFAS,Telefast Indonesia Tbk.,Pengembangan,Lainnya
GGRP,Gunung Raja Paksi Tbk.,Pengembangan,Lainnya
