Kode,Nama Perusahaan,Papan Pencatatan,Kategori
RGAS,Kian Santang Muliatama Tbk.,Pemantauan Khusus,Lainnya
MSTI,Mastersystem Infotama Tbk.,Utama,Lainnya
IKPM,Ikapharmindo Putramas Tbk.,Pengembangan,Lainnya
AYAM,Janu Putra Sejahtera Tbk.,Pengembangan,Lainnya
SURI,Maja Agung Latexindo Tbk.,Pengembangan,Lainnya
ASLI,Asri Karya Lestari Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
GRPH,Griptha Putra Persada Tbk.,Pengembangan,Lainnya
SMGA,Sumber Mineral Global Abadi Tb,Pengembangan,Lainnya
UNTD,Terang Dunia Internusa Tbk.,Pengembangan,Lainnya
TOSK,Topindo Solusi Komunika Tbk.,Pengembangan,Lainnya
MPIX,Mitra Pedagang Indonesia Tbk.,Pengembangan,Lainnya
ALII,Ancara Logistics Indonesia Tbk,Utama,Transportasi & Logistik
MKAP,Multikarya Asia Pasifik Raya T,Pengembangan,Konstruksi & Bahan Bangunan
MEJA,Harta Djaya Karya Tbk.,Akselerasi,Konstruksi & Bahan Bangunan
LIVE,Homeco Victoria Makmur Tbk.,Pengembangan,Lainnya
HYGN,Ecocare Indo Pasifik Tbk.,Pengembangan,Lainnya
BAIK,Bersama Mencapai Puncak Tbk.,Pengembangan,Lainnya
VISI,Satu Visi Putra Tbk.,Pengembangan,Lainnya
AREA,Dunia Virtual Online Tbk.,Pengembangan,Lainnya
MHKI,Multi Hanna Kreasindo Tbk.,Pengembangan,Lainnya
ATLA,Atlantis Subsea Indonesia Tbk.,Pengembangan,Lainnya
DATA,Remala Abadi Tbk.,Pengembangan,Lainnya
SOLA,Xolare RCR Energy Tbk.,Pengembangan,Energi & Pertambangan
BATR,Benteng Api Technic Tbk.,Pengembangan,Lainnya
SPRE,Soraya Berjaya Indonesia Tbk.,Akselerasi,Lainnya
PART,Cipta Perdana Lancar Tbk.,Pengembangan,Lainnya
GOLF,Intra Golflink Resorts Tbk.,Utama,Lainnya
ISEA,Indo American Seafoods Tbk.,Pengembangan,Consumer Goods
BLES,Superior Prima Sukses Tbk.,Pengembangan,Lainnya
GUNA,Gunanusa Eramandiri Tbk.,Pengembangan,Lainnya
LABS,UBC Medical Indonesia Tbk.,Pengembangan,Lainnya
DOSS,Global Sukses Digital Tbk.,Pengembangan,Teknologi
NEST,Esta Indonesia Tbk.,Pengembangan,Lainnya
PTMR,Master Print Tbk.,Pemantauan Khusus,Lainnya
VERN,Verona Indah Pictures Tbk.,Pengembangan,Lainnya
DAAZ,Daaz Bara Lestari Tbk.,Utama,Energi & Pertambangan
BOAT,Newport Marine Services Tbk.,Pengembangan,Lainnya
NAIK,Adiwarna Anugerah Abadi Tbk.,Pengembangan,Lainnya
AADI,Adaro Andalan Indonesia Tbk.,Utama,Energi & Pertambangan
MDIY,Daya Intiguna Yasa Tbk.,Utama,Lainnya
KSIX,Kentanix Supra International T,Pengembangan,Lainnya
RATU,Raharja Energi Cepu Tbk.,Pengembangan,Energi & Pertambangan
YOII,Asuransi Digital Bersama Tbk.,Pengembangan,Asuransi
HGII,Hero Global Investment Tbk.,Pengembangan,Lainnya
BRRC,Raja Roti Cemerlang Tbk.,Pengembangan,Lainnya
DGWG,Delta Giri Wacana Tbk.,Utama,Lainnya
CBDK,Bangun Kosambi Sukses Tbk.,Utama,Konstruksi & Bahan Bangunan
OBAT,Brigit Biofarmaka Teknologi Tb,Pengembangan,Farmasi & Kesehatan
MINE,Sinar Terang Mandiri Tbk.,Pengembangan,Lainnya
ASPR,Asia Pramulia Tbk.,Pengembangan,Lainnya
PSAT,Pancaran Samudera Transport Tb,Pengembangan,Lainnya
COIN,Indokripto Koin Semesta Tbk.,Pengembangan,Lainnya
CDIA,Chandra Daya Investasi Tbk.,Pengembangan,Lainnya
BLOG,Trimitra Trans Persada Tbk.,Utama,Lainnya
MERI,Merry Riana Edukasi Tbk.,Pengembangan,Lainnya
KAQI,Jantra Grupo Indonesia Tbk.,Pengembangan,Lainnya
YUPI,Yupi Indo Jelly Gum Tbk.,Utama,Lainnya
FORE,Fore Kopi Indonesia Tbk.,Pengembangan,Lainnya
MDLA,Medela Potentia Tbk.,Utama,Lainnya
DKHH,Cipta Sarana Medika Tbk.,Pengembangan,Farmasi & Kesehatan
AYLS,Arkayana Lestari Grup Tbk.,Pengembangan,Lainnya
DADA,Diamond Citra Propertindo Tbk.,Pengembangan,Properti & Real Estate
ASPI,Andalan Sakti Primaindo Tbk.,Pengembangan,Lainnya
ESTA,Esta Multi Usaha Tbk.,Pengembangan,Lainnya
BESS,Batulicin Nusantara Maritim Tb,Pengembangan,Lainnya
AMAN,Makmur Berkah Amanda Tbk.,Pengembangan,Lainnya
CARE,Metro Healthcare Indonesia Tbk,Pengembangan,Farmasi & Kesehatan
PIPA,Oxala Energy International Tbk,Pengembangan,Energi & Pertambangan
NCKL,Trimegah Bangun Persada Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
MENN,Menn Teknologi Indonesia Tbk.,Pemantauan Khusus,Teknologi
AWAN,Era Digital Media Tbk.,Pengembangan,Media & Hiburan
MBMA,Merdeka Battery Materials Tbk.,Utama,Lainnya
RAAM,Tripar Multivision Plus Tbk.,Utama,Lainnya
DOOH,Era Media Sejahtera Tbk.,Pengembangan,Media & Hiburan
CGAS,Citra Nusantara Gemilang Tbk.,Pengembangan,Lainnya
NICE,Adhi Kartiko Pratama Tbk.,Pengembangan,Lainnya
MSJA,Multi Spunindo Jaya Tbk.,Pengembangan,Lainnya
SMLE,Sinergi Multi Lestarindo Tbk.,Pengembangan,Lainnya
ACRO,Samcro Hyosung Adilestari Tbk.,Pengembangan,Lainnya
MANG,Manggung Polahraya Tbk.,Akselerasi,Lainnya
WIFI,Solusi Sinergi Digital Tbk.,Pengembangan,Teknologi
FAPA,FAP Agri Tbk.,Pengembangan,Perkebunan & Agrikultur
DCII,DCI Indonesia Tbk.,Pengembangan,Lainnya
KETR,Ketrosden Triasmitra Tbk.,Pengembangan,Lainnya
DGNS,Diagnos Laboratorium Utama Tbk,Pengembangan,Lainnya
UFOE,Damai Sejahtera Abadi Tbk.,Pengembangan,Lainnya
CHEK,Diastika Biotekindo Tbk.,Pengembangan,Lainnya
PMUI,Prima Multi Usaha Indonesia Tb,Pengembangan,Lainnya
EMAS,Merdeka Gold Resources Tbk.,Pengembangan,Energi & Pertambangan
PJHB,Pelayaran Jaya Hidup Baru Tbk.,Pengembangan,Transportasi & Logistik
RLCO,Abadi Lestari Indonesia Tbk.,Pengembangan,Lainnya
SUPA,Super Bank Indonesia Tbk.,Pengembangan,Perbankan
WBSA,BSA Logistics Indonesia Tbk.,Pengembangan,Transportasi & Logistik
JECX,Nitrasanata Dharma Tbk.,Utama,Lainnya
JELI,Niramas Utama Tbk.,Pengembangan,Lainnya
EMMI,Esa Medika Mandiri Tbk.,Pengembangan,Farmasi & Kesehatan
BACH,Bach Multi Global Tbk.,Utama,Lainnya
PRDL,Prodia Diagnostic Line Tbk.,Pengembangan,Lainnya
RANS,Rans Entertainmen Indonesia Tb,Pengembangan,Lainnya
WMPP,Widodo Makmur Perkasa Tbk.,Pemantauan Khusus,Lainnya
RMKE,RMK Energy Tbk.,Utama,Energi & Pertambangan
OBMD,OBM Drilchem Tbk.,Pengembangan,Lainnya
AVIA,Avia Avian Tbk.,Utama,Lainnya
IPPE,Indo Pureco Pratama Tbk.,Pemantauan Khusus,Lainnya
NASI,Wahana Inti Makmur Tbk.,Pengembangan,Lainnya
BSML,Bintang Samudera Mandiri Lines,Pengembangan,Lainnya
DRMA,Dharma Polimetal Tbk.,Utama,Industri Dasar & Kimia
ADMF,Adira Dinamika Multi Finance T,Pengembangan,Pembiayaan & Sekuritas
ADMG,Polychem Indonesia Tbk,Pengembangan,Lainnya
ADRO,Alamtri Resources Indonesia Tb,Utama,Energi & Pertambangan
AGII,Samator Indo Gas Tbk.,Pengembangan,Energi & Pertambangan
AGRO,Bank Raya Indonesia Tbk.,Utama,Perbankan
AGRS,Bank IBK Indonesia Tbk.,Pengembangan,Perbankan
AHAP,Asuransi Harta Aman Pratama Tb,Pengembangan,Asuransi
AIMS,Artha Mahiya Investama Tbk.,Pengembangan,Lainnya
PNSE,Pudjiadi & Sons Tbk.,Pengembangan,Lainnya
POLY,Asia Pacific Fibers Tbk,Pemantauan Khusus,Lainnya
POOL,Pool Advista Indonesia Tbk.,Pemantauan Khusus,Lainnya
PPRO,PP Properti Tbk.,Pemantauan Khusus,Properti & Real Estate
